sequencialPrecedente,tipoPrecedente,numeroPrecedente,Processo,numeroRegistro,ministroRelator,leadingCase,dataAfetacao,dataPublicacaoAfetacao,observacaoAfetacao,NOME_MINISTRO_AFETACAO,dataVistaMPF,dataJulgamento,dataPbulicacaoAcordao,processoSTF,dataRemessaSTF,situacaoProcessoSTF,tribunalOrigem,siglaTribunalOrigem,siglaRegiaoOrigem,origemUF,tipoJusticaOrigem,quantidadeProcessosSuspensoNaOrigem,dataPublicacaoEmbargosDeDeclaração,Desafetação,Embargos de Divergência
553,Tema,296,REsp 933081,200700475394,LUIZ FUX,S,2009-10-26,2009-10-26,,LUIZ FUX,2009-11-20,,,,,,Tribunal Regional Federal da 2ª Região,TRF2      ,SE,RJ,Justiça Federal,0,,"2016-03-09 : Afetação cancelada tendo em vista que ""o feito não pôde ser submetido ao regime procedimental previsto no. 543-C do CPC e na Resolução 8/2008 - STJ, uma vez que a matéria tratada nos autos já foi pacificada por essa Corte no julgamento do REsp. 1.143.677/RS"" (Temas 291 e 292/STJ).",
554,Tema,297,REsp 1133863,200901310347,CELSO LIMONGI (DESEMBARGADOR CONVOCADO DO TJ/SP),S,2009-10-27,2009-10-27,,CELSO LIMONGI (DESEMBARGADOR CONVOCADO DO TJ/SP),2009-11-11,2010-12-13,2011-04-15,,,,Tribunal Regional Federal da 5ª Região,TRF5      ,NE,PE,Justiça Federal,0,,,
555,Tema,298,REsp 1092783,200802126115,LUIS FELIPE SALOMÃO,N,2009-11-24,2009-11-24,,LUIS FELIPE SALOMÃO,,,,,,,Tribunal de Justiça de São Paulo - Páteo do Colégio,TJSPCF    ,SE,SP,Justiça Estadual,0,,2010-09-03 : Afetação cancelada em razão do julgamento do tema no REsp 1107201/DF e no REsp 1147595/RS.,
555,Tema,298,REsp 1107201,200802831784,SIDNEI BENETI,S,2009-11-03,,,SIDNEI BENETI,2009-12-17,2010-08-25,2011-05-06,,,,Tribunal de Justiça do Distrito Federal e Territórios,TJDFT     ,CO,DF,Justiça Estadual,0,,,
556,Tema,299,REsp 1092783,200802126115,LUIS FELIPE SALOMÃO,N,2009-11-24,2009-11-24,,LUIS FELIPE SALOMÃO,,,,,,,Tribunal de Justiça de São Paulo - Páteo do Colégio,TJSPCF    ,SE,SP,Justiça Estadual,0,,2010-09-03 : Afetação cancelada em razão do julgamento do tema no REsp 1107201/DF e no REsp 1147595/RS.,
556,Tema,299,REsp 1107201,200802831784,SIDNEI BENETI,S,2009-11-03,,,SIDNEI BENETI,2009-12-17,2010-08-25,2011-05-06,,,,Tribunal de Justiça do Distrito Federal e Territórios,TJDFT     ,CO,DF,Justiça Estadual,0,,,
557,Tema,300,REsp 1107201,200802831784,SIDNEI BENETI,S,2009-11-03,,,SIDNEI BENETI,2009-12-17,2010-08-25,2011-05-06,,,,Tribunal de Justiça do Distrito Federal e Territórios,TJDFT     ,CO,DF,Justiça Estadual,0,,,
557,Tema,300,REsp 1151503,200901486533,LUIS FELIPE SALOMÃO,N,2009-11-24,2009-11-24,,LUIS FELIPE SALOMÃO,,,,,,,Tribunal de Justiça de São Paulo - Páteo do Colégio,TJSPCF    ,SE,SP,Justiça Estadual,0,,2010-09-03 : Julgado como recurso repetido ao REsp 1107201/DF.,
557,Tema,300,REsp 1151503,200901486533,LUIS FELIPE SALOMÃO,N,2009-12-01,2009-12-01,,LUIS FELIPE SALOMÃO,,,,,,,Tribunal de Justiça de São Paulo - Páteo do Colégio,TJSPCF    ,SE,SP,Justiça Estadual,0,,2010-09-03 : Julgado como recurso repetido ao REsp 1107201/DF.,
558,Tema,301,REsp 1062648,200801183977,LUIS FELIPE SALOMÃO,N,2009-11-24,2009-11-24,,LUIS FELIPE SALOMÃO,,,,,,,Tribunal de Justiça do Estado do Rio de Janeiro,TJRJ      ,SE,RJ,Justiça Estadual,0,,2010-09-03 : Afetação cancelada em razão do julgamento do tema no REsp 1107201/DF e no REsp 1147595/RS.,
558,Tema,301,REsp 1107201,200802831784,SIDNEI BENETI,S,2009-11-03,,,SIDNEI BENETI,2009-12-17,2010-08-25,2011-05-06,,,,Tribunal de Justiça do Distrito Federal e Territórios,TJDFT     ,CO,DF,Justiça Estadual,0,,,
