movimento_nome,codigo,codigo_pai,complemento,movimento,visibilidade_externa,dispositivo_legal,artigo,alteracoes,glossario,data_publicacao,data_alteracao,data_inativacao,data_reativacao,nivel_visual,tipo_item,fonte,caminho_codigos,caminho_rotulos
Tributos,481,16,,Realizado Cálculo de Tributos,Sim,,,,"Registra a ação do Contador auxiliar do Juízo quando apresenta cálculo de tributos a serem satisfeitos pela parte, como nos casos de inventário e partilha.",2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 15 > 16 > 481,Serventuário > Contador > Cálculo > Tributos
Recebimento,979,15,,Recebidos os Autos pela Contadoria,Sim,,,,Registra o momento em que os autos passam à responsabilidade da Contadoria auxiliar do Juízo.,2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 15 > 979,Serventuário > Contador > Recebimento
Remessa,980,15,Identificador - destino;,Remetidos os autos da Contadoria ao #{destino}.,Sim,,,,Registra o momento em que os autos deixam a responsabilidade da Contadoria auxiliar do Juízo.,2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 15 > 980,Serventuário > Contador > Remessa
Distribuidor,18,14,,,Não,,,,,2008-09-30 15:52:47,,,,1,M,78_Tabela_Movimentos_STJ.sql,14 > 18,Serventuário > Distribuidor
Atribuição de competência,12297,18,,Atribuição de competência temporária,Sim,,,,"Indica a atribuição de competência temporária para responder por um processo a um órgão que não aquele ao qual originalmente distribuído, em função de mutirão, convocação etc.",2018-06-26 00:00:00,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 18 > 12297,Serventuário > Distribuidor > Atribuição de competência
Baixa Definitiva,22,18,,Baixa Definitiva,Sim,,,,"É o registro da baixa definitiva do processo. Em alguns tribunais a baixa definitiva é registrada pela secretaria, em outros, pela distribuição. Também usado pelos tribunais quando devolve o processo ao primeiro grau após julgamento de recurso.",2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 18 > 22,Serventuário > Distribuidor > Baixa Definitiva
Cancelamento de Distribuição,488,18,,Cancelada a Distribuição,Sim,CPC,257,,"Utilizada para realizar o cancelamento da distribuição, inclusive na hipótese do artigo 257 do CPC (Art. 257. Será cancelada a distribuição do feito que, em 30 (trinta) dias, não for preparado no cartório em que deu entrada.). Depende de decisão anterior de magistrado. (Glossário alterado na reunião do Comitê Gestor de 21/03/2011).",2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 18 > 488,Serventuário > Distribuidor > Cancelamento de Distribuição
Distribuição,26,18,"Identificador - tipo de distribuição (competência exclusiva, sorteio, prevenção e dependência). ;",Distribuído por #{tipo_de_distribuicao_redistribuicao},Sim,,,,"Registra o momento em que o processo foi atribuído a determinado Juízo, após os procedimentos de protocolo, de cadastramento, de autuação e de distribuição. É posterior ao movimento Recebido...",2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 18 > 26,Serventuário > Distribuidor > Distribuição
Recebimento,981,18,,Recebido pelo Distribuidor,Sim,,,,"Inclui o recebimento de petição inicial do protocolo, além dos autos encaminhados para os diversos registros de distribuição, como redistribuição, cancelamento, etc. Marca o início da responsabilidade do Distribuidor pelo documento.",2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 18 > 981,Serventuário > Distribuidor > Recebimento
Redistribuição,36,18,"Identificador - tipo de redistribuição: competência exclusiva, dependência, desaforamento, erro material, impedimento, suspeição, prevenção, sorteio, sucessão e criação de nova unidade judiciária.;",Redistribuído por #{tipo_de_distribuicao_redistribuicao} em razão de #{motivo_da_redistribuicao},Sim,,,,"A redistribuição ocorre quando o juiz se declara impedido; quando verifica a prevenção de outra vara, órgão julgador ou relator. Redistribuição por sucessão - para o 2º grau, nas hipóteses de mudança de mesa diretora, promoção, aposentadoria.",2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 18 > 36,Serventuário > Distribuidor > Redistribuição
